,city,Cloudiness,Humidity,Wind Speed,Temp Max,Date,Country,Latitude,Longitude
383,martapura,32,100,1.12,77.0,1587507657,ID,-3.42,114.85
384,klaksvik,42,81,9.17,42.8,1587507532,FO,62.23,-6.59
385,businga,39,78,3.04,73.94,1587507895,CD,3.33,20.88
386,sumbe,100,79,3.96,75.99,1587507895,AO,-11.21,13.84
387,baruun-urt,91,61,11.45,22.12,1587507896,MN,46.68,113.28
388,yulara,33,43,6.93,69.8,1587507896,AU,-25.24,130.99
389,pilar,75,78,5.82,80.6,1587507896,BR,-9.6,-35.96
390,san cristobal,40,52,8.05,89.6,1587507897,VE,7.77,-72.22
391,batemans bay,0,81,1.01,51.01,1587507897,AU,-35.72,150.18
392,isangel,40,78,9.17,82.4,1587507897,VU,-19.55,169.27
393,olga,46,87,16.35,32.56,1587507898,RU,43.74,135.29
394,kaihua,58,59,1.43,64.62,1587507898,CN,23.37,104.28
395,macas,40,48,2.24,82.4,1587507899,EC,-2.32,-78.12
396,avera,40,44,12.75,77.0,1587507575,US,33.19,-82.53
397,biscarrosse,90,100,4.7,57.2,1587507900,FR,44.39,-1.17
398,sovetskiy,91,90,3.71,35.87,1587507901,RU,61.36,63.58
399,henties bay,25,89,1.99,61.0,1587507901,NA,-22.12,14.28
400,khandyga,47,93,2.91,13.41,1587507901,RU,62.67,135.6
401,dera ghazi khan,0,31,1.74,79.88,1587507902,PK,30.06,70.63
402,slave lake,1,61,24.16,55.4,1587507902,CA,55.28,-114.77
403,sassandra,17,83,6.78,81.05,1587507903,CI,4.95,-6.08
404,barcelona,75,93,19.46,59.0,1587507168,ES,41.39,2.16
405,harsin,11,71,6.93,51.8,1587507903,IR,34.27,47.59
406,manta,20,78,9.17,82.4,1587507621,EC,-0.95,-80.73
407,souillac,13,77,5.99,75.99,1587507904,MU,-20.52,57.52
408,dubbo,0,93,3.36,55.4,1587507904,AU,-32.25,148.62
409,itarema,100,91,1.9,75.85,1587507905,BR,-2.92,-39.92
410,goderich,100,75,26.04,35.01,1587507318,CA,43.75,-81.72
411,asau,55,69,5.82,37.0,1587507905,RO,46.43,26.4
412,opuwo,0,24,3.6,68.05,1587507906,NA,-18.06,13.84
413,machali,75,36,5.82,75.2,1587507906,CL,-34.18,-70.67
414,zambezi,40,49,3.74,61.65,1587507907,ZM,-13.54,23.1
415,komsomolskiy,0,48,6.93,62.6,1587507547,UZ,40.43,71.72
416,panama city,20,62,6.93,87.8,1587507453,PA,8.99,-79.52
417,yar-sale,100,99,11.39,31.96,1587507908,RU,66.83,70.83
418,bealanana,92,69,3.2,61.25,1587507908,MG,-14.55,48.73
419,ostrovnoy,96,92,19.28,28.71,1587507908,RU,68.05,39.51
420,vila velha,40,78,6.93,77.0,1587507909,BR,-20.33,-40.29
421,rio gallegos,47,50,27.51,51.8,1587507909,AR,-51.62,-69.22
422,cherkasskoye,66,86,10.02,37.81,1587507909,RU,52.43,47.22
423,inuvik,90,66,10.29,10.4,1587507910,CA,68.35,-133.72
424,bari,100,100,2.24,62.01,1587507910,IT,41.12,16.85
425,baft,100,43,0.16,50.76,1587507910,IR,29.23,56.61
426,mahebourg,15,77,5.99,75.99,1587507911,MU,-20.41,57.7
427,faanui,100,79,15.55,81.16,1587507523,PF,-16.48,-151.75
428,ibirataia,22,90,2.62,72.75,1587507911,BR,-14.07,-39.64
429,catarman,44,92,4.0,74.7,1587507912,PH,12.5,124.64
430,porto belo,0,82,10.2,73.0,1587507913,BR,-27.16,-48.55
431,ukiah,9,56,5.99,66.99,1587507914,US,39.15,-123.21
432,petropavlovsk-kamchatskiy,75,92,6.71,32.0,1587507568,RU,53.05,158.65
433,calama,0,12,20.8,69.8,1587507915,CL,-22.47,-68.93
434,hambantota,100,83,8.97,81.77,1587507915,LK,6.12,81.12
435,takaka,3,71,3.0,64.0,1587507915,NZ,-40.85,172.8
436,gouyave,20,78,17.22,82.4,1587507916,GD,12.16,-61.73
437,volda,7,75,5.82,48.99,1587507916,NO,62.15,6.07
438,burgeo,0,85,18.19,34.65,1587507916,CA,47.62,-57.62
439,hong gai,30,88,3.36,78.8,1587507917,VN,20.96,107.09
440,zhezkazgan,14,31,7.94,61.74,1587507917,KZ,47.8,67.71
441,prince rupert,90,79,13.87,48.2,1587507918,CA,54.32,-130.32
442,diu,94,58,13.06,82.63,1587507918,IN,20.71,70.98
443,yele,56,17,6.04,80.92,1587507918,CM,10.73,13.59
444,gunjur,0,64,11.41,75.2,1587507919,GM,13.2,-16.73
445,grindavik,20,93,10.29,37.4,1587507919,IS,63.84,-22.43
446,zaragoza,90,87,21.92,55.99,1587507622,ES,41.66,-0.88
447,san francisco,20,59,21.92,69.01,1587507328,US,37.77,-122.42
448,irkutsk,0,49,6.71,24.8,1587507656,RU,52.3,104.3
449,coos bay,40,67,9.17,66.99,1587507688,US,43.37,-124.22
450,talcahuano,82,63,5.82,60.8,1587507733,CL,-36.72,-73.12
451,saint-augustin,30,80,9.82,36.63,1587507921,CA,51.23,-58.65
452,northam,37,66,8.01,55.0,1587507921,GB,51.03,-4.22
453,roma,75,41,21.92,41.0,1587507922,US,43.21,-75.46
454,alakurtti,0,93,9.66,26.78,1587507922,RU,66.97,30.35
455,touros,75,100,3.36,75.2,1587507923,BR,-5.2,-35.46
456,kalasin,20,83,3.36,80.6,1587507923,TH,16.5,103.5
457,sept-iles,90,84,5.82,33.01,1587507906,CA,50.2,-66.38
458,moberly,20,30,5.01,66.0,1587507924,US,39.42,-92.44
459,vilyuysk,93,97,3.6,25.77,1587507924,RU,63.76,121.62
460,vao,3,81,15.59,75.67,1587507924,NC,-22.67,167.48
461,stornoway,25,70,5.82,50.0,1587507925,GB,58.21,-6.39
462,college,90,86,2.53,43.0,1587507925,US,64.86,-147.8
463,tiznit,84,66,14.88,53.22,1587507926,MA,29.58,-9.5
